"fit","x","y","z"
0.0116159718201096,4.48,-0.4,-1.22241795950145
0.0086243520888943,4.72,-0.4,-1.22241795950145
0.00608285911113929,4.96,-0.4,-1.22241795950145
0.00399172034278044,5.2,-0.4,-1.22241795950145
0.00235109229573456,5.44,-0.4,-1.22241795950145
0.233745335824834,-1.52,-0.14,-1.22241795950145
0.219775427047993,-1.28,-0.14,-1.22241795950145
0.206253496819269,-1.04,-0.14,-1.22241795950145
0.193177766928727,-0.8,-0.14,-1.22241795950145
0.180547248170448,-0.56,-0.14,-1.22241795950145
0.168362555281822,-0.32,-0.14,-1.22241795950145
0.156625997468109,-0.0800000000000001,-0.14,-1.22241795950145
0.145341080731337,0.16,-0.14,-1.22241795950145
0.134511544410254,0.4,-0.14,-1.22241795950145
0.12414025707394,0.64,-0.14,-1.22241795950145
0.114228542572721,0.88,-0.14,-1.22241795950145
0.104776025270583,1.12,-0.14,-1.22241795950145
0.0957810263781092,1.36,-0.14,-1.22241795950145
0.0872412321246669,1.6,-0.14,-1.22241795950145
0.0791542667438699,1.84,-0.14,-1.22241795950145
0.0715180432892895,2.08,-0.14,-1.22241795950145
0.064330935705394,2.32,-0.14,-1.22241795950145
0.0575918950040619,2.56,-0.14,-1.22241795950145
0.0513004631651984,2.8,-0.14,-1.22241795950145
0.0454565951801624,3.04,-0.14,-1.22241795950145
0.0400604713776968,3.28,-0.14,-1.22241795950145
0.0351124107836988,3.52,-0.14,-1.22241795950145
0.030612799441483,3.76,-0.14,-1.22241795950145
0.0265620295149225,4,-0.14,-1.22241795950145
0.0229604587268236,4.24,-0.14,-1.22241795950145
0.0198084300974993,4.48,-0.14,-1.22241795950145
0.017106340086796,4.72,-0.14,-1.22241795950145
0.0148545300643201,4.96,-0.14,-1.22241795950145
0.0130532401771933,5.2,-0.14,-1.22241795950145
0.0117026328694189,5.44,-0.14,-1.22241795950145
0.219191893597389,-1.28,0.12,-1.22241795950145
0.205964629329117,-1.04,0.12,-1.22241795950145
0.193184279007143,-0.8,0.12,-1.22241795950145
0.180850047911553,-0.56,0.12,-1.22241795950145
0.168962524435167,-0.32,0.12,-1.22241795950145
0.157523716181878,-0.0800000000000001,0.12,-1.22241795950145
0.146536578062341,0.16,0.12,-1.22241795950145
0.136004189005332,0.4,0.12,-1.22241795950145
0.12592883860844,0.64,0.12,-1.22241795950145
0.116311490774468,0.88,0.12,-1.22241795950145
0.107151709321494,1.12,0.12,-1.22241795950145
0.0984479856079054,1.36,0.12,-1.22241795950145
0.0901982825242046,1.6,0.12,-1.22241795950145
0.0824005103592903,1.84,0.12,-1.22241795950145
0.0750528511415109,2.08,0.12,-1.22241795950145
0.0681539241327105,2.32,0.12,-1.22241795950145
0.0617028887151954,2.56,0.12,-1.22241795950145
0.0556994621304631,2.8,0.12,-1.22241795950145
0.050143708284211,3.04,0.12,-1.22241795950145
0.0450358844832984,3.28,0.12,-1.22241795950145
0.0403763654596016,3.52,0.12,-1.22241795950145
0.036165565707428,3.76,0.12,-1.22241795950145
0.0324038776805118,4,0.12,-1.22241795950145
0.029091639027068,4.24,0.12,-1.22241795950145
0.0262291633660837,4.48,0.12,-1.22241795950145
0.0238168177465545,4.72,0.12,-1.22241795950145
0.0218549263888753,4.96,0.12,-1.22241795950145
0.0203437230227444,5.2,0.12,-1.22241795950145
0.0192833666423858,5.44,0.12,-1.22241795950145
0.0186739633238641,5.68,0.12,-1.22241795950145
0.216844138646884,-1.28,0.38,-1.22241795950145
0.203911712938348,-1.04,0.38,-1.22241795950145
0.191427061513498,-0.8,0.38,-1.22241795950145
